time,国内総生産(支出側),民間最終消費支出,家計消費,持家帰属家賃を除く家計消費,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,純輸出,輸出,輸入
1994/1-3.,12796.3,6829.3,6215.9,5617.9,984.4,2312.5,-480.9,1358.4,1191.5,-113.7,714.8,1249.3
4-6.,12571.1,6713.6,6447.8,5747.1,320.7,1545.6,820.6,2182.0,672.2,31.8,284.6,1981.7
7-9.,12429.8,6995.2,6854.8,5041.1,386.7,1933.2,-430.3,1696.6,1588.9,114.1,145.5,1235.3
10-12.,13740.5,6903.5,6267.3,5333.2,956.1,1746.3,902.1,2137.1,1371.5,325.1,398.6,1690.6
1995/1-3.,12894.8,6248.9,6601.2,5596.6,275.5,2836.2,-881.2,1337.4,1246.8,-46.4,877.6,1245.4
4-6.,12423.1,6109.8,6768.8,5668.7,094.1,1638.7,844.4,2010.4,077.8,-31.6,679.5,1665.0
7-9.,12363.4,6199.0,6010.9,5799.3,386.1,2620.8,67.1,1411.5,1130.4,-9.0,557.5,1667.4
10-12.,13860.4,7607.3,6913.0,6610.8,438.6,2354.1,601.3,2976.2,1321.3,197.0,364.5,1406.3
1996/1-3.,12759.6,6677.5,6969.1,5593.9,306.6,2831.9,-136.3,1850.9,1261.1,117.8,850.0,1130.7
4-6.,12246.6,6756.0,6380.9,5882.4,693.2,1309.5,507.8,2742.3,1060.2,-39.6,217.3,1897.1
7-9.,12763.1,7435.5,6225.1,5607.7,528.4,2480.9,-124.2,1993.4,1036.8,-8.8,421.1,1390.4
10-12.,14037.6,7138.7,7427.1,6701.8,629.0,2854.7,945.5,2641.4,1854.1,182.6,791.8,1423.4
1997/1-3.,12719.1,7487.2,6723.4,5911.6,910.1,2025.8,-806.5,1540.4,1065.1,38.2,458.9,1604.8
4-6.,13413.4,6691.3,6307.4,5374.0,344.1,1763.1,455.5,2437.5,394.5,-48.9,376.5,1913.6
7-9.,13054.2,7683.4,7480.4,6442.1,267.4,2909.3,677.1,1260.1,1827.3,-18.0,447.7,1856.7
10-12.,14955.9,7330.1,7628.4,6511.1,791.0,2719.5,400.6,2085.8,1070.1,196.0,362.7,1970.7
1998/1-3.,12914.7,6331.5,6564.1,5365.6,408.8,2380.1,-945.2,1779.2,1958.1,73.3,928.9,1967.4
4-6.,12917.4,6480.1,6898.5,5645.1,343.5,1541.1,364.6,2524.5,225.2,-15.4,453.7,1943.1
7-9.,12630.3,7263.8,6897.0,5560.3,549.2,2581.4,-664.8,1463.1,871.6,-59.7,625.7,1400.1
10-12.,14414.5,7414.3,7509.5,6155.2,192.1,2009.3,007.0,2504.1,1785.4,-80.6,583.1,1245.6
1999/1-3.,12051.2,6682.5,6743.0,5363.7,856.7,2419.8,-687.6,2210.1,1432.0,13.7,124.0,1454.4
4-6.,12570.7,7025.7,6367.8,5928.0,305.6,1916.0,079.9,2151.2,149.9,-40.2,982.7,1768.7
7-9.,12263.7,7727.7,7259.6,5752.3,766.0,2023.7,-456.9,1960.5,1209.7,-33.3,066.4,1194.5
10-12.,13766.1,7357.8,7392.6,6835.5,329.9,1403.9,480.2,2534.7,1813.7,-59.3,905.3,1296.8
2000/1-3.,12387.7,7771.2,6713.5,5110.8,068.2,2572.5,-162.6,2724.7,1257.8,81.5,074.4,1502.3
4-6.,13042.4,7244.4,6784.7,5113.9,240.2,1081.1,366.9,2771.6,291.3,-20.2,067.0,1739.4
7-9.,12773.3,7597.4,7256.7,5533.5,505.4,2290.0,-914.7,1902.9,354.1,-34.1,072.3,1265.9
10-12.,13502.5,7975.7,7243.0,6463.6,462.3,2824.5,290.0,2361.4,1289.8,-15.7,314.5,1452.0
2001/1-3.,13194.5,7383.5,7462.1,5660.2,107.7,2333.7,-309.9,2479.9,1142.1,52.4,005.0,1943.0
4-6.,13104.0,7592.2,7087.0,5197.7,859.1,1270.6,663.2,2542.9,660.9,-64.7,579.7,1376.3
7-9.,12903.3,7308.5,7899.8,5957.2,132.6,2486.0,-102.4,2568.5,736.8,-71.0,844.2,1150.4
10-12.,13803.3,7648.3,7845.1,6855.4,012.6,1526.6,929.6,2116.0,1565.3,-18.4,023.3,1029.0
2002/1-3.,12263.0,7965.9,6928.6,5910.2,651.1,2710.4,-434.7,2366.6,1326.4,17.1,660.3,1642.7
4-6.,12843.5,7271.0,6870.1,5842.4,708.5,1376.9,446.9,2928.6,198.7,-17.8,930.7,1204.2
7-9.,12245.5,7340.3,7005.1,5942.5,043.0,1980.8,-908.1,2963.7,205.3,-21.4,641.9,1003.4
10-12.,13634.2,7686.6,7974.4,6881.3,847.2,1063.6,046.3,2274.5,1040.2,-61.5,737.3,1002.3
2003/1-3.,12041.2,7921.3,6945.7,5817.7,497.3,2231.2,-666.7,2819.8,612.3,17.6,608.4,1587.6
4-6.,12112.9,7720.6,6237.5,5062.0,554.1,1639.1,746.1,2480.2,793.1,4.8,174.9,1600.0
7-9.,12296.7,7505.8,7085.7,5862.8,066.9,1596.0,78.8,2173.6,547.0,-30.0,358.8,1141.5
10-12.,13949.9,7002.5,7178.3,6924.5,856.8,1514.5,614.0,2295.1,181.4,-110.7,596.3,1660.0
2004/1-3.,12571.1,7457.0,7396.6,5066.8,580.6,2683.3,-693.7,2892.1,874.3,-57.5,835.0,1083.4
4-6.,12012.4,7277.4,6822.5,5443.1,692.2,1902.9,029.1,2296.9,101.0,-4.0,716.8,1630.9
7-9.,12711.5,7526.6,7129.6,5706.3,105.6,1276.8,187.9,2235.5,814.4,-1.7,566.3,1172.7
10-12.,13670.6,7014.2,7177.4,6695.1,003.1,1782.2,088.8,2885.5,481.5,1.0,414.2,1692.9
2005/1-3.,12785.8,7518.9,7483.0,5946.3,623.6,2779.2,-895.6,2041.5,521.0,43.0,154.3,1888.6
4-6.,12762.0,7760.5,7283.2,5696.3,579.4,1544.8,045.2,2521.8,408.6,-7.1,908.8,1602.2
7-9.,12633.0,7160.3,7718.2,6078.9,073.2,2167.2,-70.1,2370.8,266.1,4.7,660.7,1633.5
10-12.,13952.1,7103.5,7187.1,6468.5,089.9,2065.0,661.5,2024.3,823.8,-3.4,187.5,2319.5
2006/1-3.,12345.1,7940.4,7856.2,6091.3,727.4,2561.7,-163.8,2033.5,397.6,28.8,819.6,2052.0
4-6.,13161.5,7635.2,7145.5,5334.3,713.4,1897.0,672.2,2452.4,362.1,-21.1,450.4,2086.7
7-9.,12106.5,7076.8,7610.0,5772.6,176.9,2136.3,-118.8,2294.5,774.2,-3.2,769.8,2284.6
10-12.,13266.5,7791.4,7810.1,6919.9,191.7,2800.8,786.9,2809.7,493.2,-17.7,410.5,2207.9
2007/1-3.,13542.1,7137.9,7051.4,6101.9,816.5,2584.9,-407.9,2945.1,805.5,6.7,653.6,2216.5
4-6.,13876.0,7245.3,7809.5,5815.3,726.5,1131.0,885.3,2673.0,018.2,27.1,169.5,2787.3
7-9.,12326.2,7636.9,7167.0,6124.8,677.6,2982.1,110.1,2475.4,649.7,-10.8,805.1,2597.1
10-12.,13944.0,7014.4,7095.4,6999.6,059.2,2369.5,327.5,2321.2,410.8,6.1,435.3,2409.0
2008/1-3.,13851.1,7020.0,7928.9,6775.4,942.2,2400.8,-585.0,2411.7,618.8,69.5,973.0,2565.0
4-6.,12744.8,7727.5,7317.8,5125.7,149.6,1838.8,682.5,2581.0,894.2,-5.9,877.0,2312.4
7-9.,12228.3,7006.4,7537.1,6285.3,714.7,2655.1,-415.6,2515.6,645.4,-42.0,148.7,2577.6
10-12.,13891.5,7198.6,7318.3,6055.3,685.8,1152.4,319.3,2092.2,077.7,26.1,-660.5,1274.7
2009/1-3.,11601.2,7468.6,6398.2,5132.8,979.4,2195.0,-923.1,2150.1,497.3,-4.6,-761.6,1267.3
4-6.,12430.8,7469.6,6057.5,5777.0,464.1,1697.3,300.3,2556.3,270.4,7.4,665.6,1503.8
7-9.,11424.7,7777.8,7285.4,5994.5,465.0,1829.6,-664.0,2044.0,913.5,-11.2,070.1,1141.2
10-12.,12044.3,7596.7,7732.8,5428.0,365.4,1245.4,205.5,2361.5,536.7,10.4,722.8,1377.6
2010/1-3.,12170.5,7195.6,7074.0,5768.8,251.4,1743.4,-517.2,2593.9,850.5,33.2,019.8,1140.5
4-6.,12430.1,7102.0,6603.7,5292.2,218.8,1273.4,056.3,2067.0,983.5,-7.8,736.8,1996.0
7-9.,12988.0,7013.7,7462.0,5132.0,507.5,1015.6,453.0,2449.7,730.6,-57.6,875.4,1979.4
10-12.,13765.3,7645.1,7724.9,5374.9,659.2,1562.0,890.7,2416.4,928.2,-12.0,675.7,1120.9
2011/1-3.,12097.6,6831.9,6627.1,5288.9,478.9,1269.5,-366.7,2220.1,021.0,16.7,626.4,1817.1
4-6.,11907.4,7005.8,6357.4,5055.5,330.7,1149.8,480.3,2408.6,877.5,6.7,-352.0,1512.5
7-9.,12437.0,7270.7,7584.8,5269.5,775.0,1205.1,384.6,2816.2,505.5,3.7,-523.9,1870.3
10-12.,12966.4,7146.6,7080.4,5751.4,753.3,1782.0,447.9,2759.6,489.1,6.8,-418.9,1142.9
2012/1-3.,12706.3,7193.6,7844.0,5505.9,431.1,2274.1,-948.1,2757.9,321.5,9.4,-333.1,1573.7
4-6.,12292.6,7565.6,6806.5,5458.7,438.5,1338.0,329.9,2483.0,866.1,19.9,-748.5,1486.1
7-9.,12546.4,7235.1,7466.1,5111.2,767.7,1793.3,349.3,2029.6,476.0,11.4,-115.9,1523.2
10-12.,12411.9,7247.4,7056.3,5681.3,936.3,1563.6,381.5,2970.4,759.5,10.8,-457.6,1407.2
2013/1-3.,12227.2,7895.1,7432.4,5050.6,772.7,2164.0,-318.7,2875.3,296.6,-23.1,-434.8,1112.6
4-6.,12098.5,7814.0,7046.4,5654.6,712.9,1807.6,858.7,2003.3,019.3,5.9,-123.3,2228.9
7-9.,12964.0,7459.8,7675.5,6266.7,168.7,1890.0,-177.7,2421.2,203.9,-27.8,-974.1,2174.3
10-12.,13885.9,7503.7,7291.7,6870.3,447.3,1082.9,972.7,2169.4,815.5,19.4,-125.1,2566.7
2014/1-3.,12297.7,7031.5,7525.5,6088.1,297.8,2683.2,-251.4,2253.2,857.9,41.2,-615.7,2822.1
4-6.,12731.9,7915.3,7233.7,5798.1,858.1,1741.7,133.9,2497.6,217.7,0.8,-633.3,2770.4
7-9.,12313.6,7478.1,7798.0,6352.7,865.8,1747.1,34.9,2934.3,310.5,44.2,-101.3,2251.6
10-12.,13532.9,7658.3,7520.9,6064.1,937.3,1772.5,751.1,2876.5,856.1,-1.3,-317.7,2291.5
2015/1-3.,13890.2,7687.6,7289.0,6834.0,856.4,2790.1,-528.9,2944.9,756.9,45.4,-662.2,2021.7
4-6.,13442.2,7158.7,7284.7,5819.0,769.3,1599.3,235.8,2809.4,435.9,-4.4,-561.7,2998.5
7-9.,13378.0,7472.8,7616.4,6139.8,140.3,2516.9,284.4,2160.8,372.7,5.6,-575.5,2362.9
10-12.,13275.3,7891.5,7534.2,6047.9,160.2,2506.2,182.5,2381.9,574.4,5.9,-427.3,2187.4
2016/1-3.,13808.9,7423.6,7873.8,6394.5,996.2,2643.5,-498.3,2617.8,449.8,14.1,162.2,2127.0
4-6.,13009.4,7579.9,7642.5,5166.6,918.2,1653.5,065.6,2102.4,450.7,-5.0,244.2,2899.2
7-9.,13429.1,7762.8,7828.8,6356.2,356.6,2198.1,-73.9,2417.8,435.7,-10.5,342.4,2882.5
10-12.,14198.3,7092.4,7597.3,6120.6,439.0,2685.4,623.5,2336.0,562.3,-23.6,483.3,2884.1
2017/1-3.,13617.5,7058.5,7411.6,6932.7,303.3,2086.5,-960.8,2349.5,539.9,8.2,232.5,2936.4
4-6.,13533.1,7956.0,7933.0,6450.6,212.8,1283.9,110.9,2360.8,737.8,0.6,870.2,2092.4
7-9.,13285.3,7531.6,7560.7,6067.4,527.5,2195.5,171.1,2566.3,593.9,1.7,697.6,2828.8
